Index,Dato,Øvelse,DagensE1RM,AntalDatoAntalØvelse,ForrigeDato,ForrigeE1RM,Delta,PRTjek,Forrige2E1RM,MomentumBaseline,MomentumDelta,MomentumKey,PRFlag
101,8/5/2026,Bænkpres,82.3,,06/05/2026 00.00,90.7,-8.3,,90.7,90.7,2.7,1,FALSK
102,8/5/2026,Dødløft,153.0,,06/05/2026 00.00,154.0,-1.0,,154.0,154.0,,,FALSK
103,13/5/2026,Squat,,,08/05/2026 00.00,126.0,,,123.0,124.5,,,
104,13/5/2026,Bænkpres,84.6,,08/05/2026 00.00,82.3,2.3,,90.7,86.5,-1.1,-1,FALSK
105,13/5/2026,Dødløft,160.0,,08/05/2026 00.00,153.0,7.0,,154.0,153.5,-5.5,-1,FALSK
106,15/5/2026,Squat,132.0,,13/05/2026 00.00,126.0,6.0,,126.0,126.0,,,FALSK
107,15/5/2026,Bænkpres,91.0,,13/05/2026 00.00,84.6,6.4,,82.3,83.5,-1.6,-1,FALSK
108,15/5/2026,Dødløft,168.0,,13/05/2026 00.00,160.0,8.0,,153.0,156.5,-11.1,-1,FALSK
109,20/5/2026,Squat,130.3,,15/05/2026 00.00,132.0,-1.7,,126.0,129.0,-2.6,-1,FALSK
110,20/5/2026,Bænkpres,90.7,,15/05/2026 00.00,91.0,-0.3,,84.6,87.8,0.2,0,FALSK
111,20/5/2026,Dødløft,,,15/05/2026 00.00,168.0,,,160.0,164.0,,,
112,24/5/2026,Squat,,,20/05/2026 00.00,130.3,,,132.0,131.2,,,
113,24/5/2026,Bænkpres,93.5,,20/05/2026 00.00,90.7,2.8,,91.0,90.8,-0.2,0,FALSK
114,24/5/2026,Dødløft,,,20/05/2026 00.00,168.0,,,168.0,168.0,0.0,0,
115,27/5/2026,Squat,,,24/05/2026 00.00,130.3,,,130.3,130.3,9.1,1,
116,27/5/2026,Bænkpres,91.0,,24/05/2026 00.00,93.5,-2.5,,90.7,92.1,1.4,1,FALSK
117,27/5/2026,Dødløft,162.5,,24/05/2026 00.00,168.0,-5.5,,168.0,168.0,,,FALSK
118,3/6/2026,Squat,,,27/05/2026 00.00,130.3,,,130.3,130.3,,,
119,3/6/2026,Bænkpres,90.7,,27/05/2026 00.00,91.0,-0.3,,93.5,92.3,-0.7,0,FALSK
120,3/6/2026,Dødløft,154.2,,27/05/2026 00.00,162.5,-8.3,,168.0,165.3,3.1,1,FALSK
121,7/6/2026,Squat,127.8,,03/06/2026 00.00,130.3,-2.6,,130.3,130.3,5.0,1,FALSK
122,7/6/2026,Bænkpres,91.0,,03/06/2026 00.00,90.7,0.3,,91.0,90.8,6.5,1,FALSK
123,7/6/2026,Dødløft,,,03/06/2026 00.00,154.2,,,162.5,158.3,,,
124,10/6/2026,Squat,,,07/06/2026 00.00,127.8,,,130.3,129.0,,,
125,10/6/2026,Bænkpres,90.7,,07/06/2026 00.00,91.0,-0.3,,90.7,90.8,-0.9,0,FALSK
126,10/6/2026,Dødløft,154.2,,07/06/2026 00.00,154.2,0.0,,154.2,154.2,3.1,1,FALSK
127,14/6/2026,Squat,136.9,,10/06/2026 00.00,127.8,9.1,,127.8,127.8,3.1,1,FALSK
128,14/6/2026,Bænkpres,92.3,,10/06/2026 00.00,90.7,1.6,,91.0,90.8,-1.5,-1,FALSK
129,14/6/2026,Dødløft,,,10/06/2026 00.00,154.2,,,154.2,154.2,,,
130,17/6/2026,Squat,,,14/06/2026 00.00,136.9,,,127.8,132.3,,,
131,17/6/2026,Bænkpres,90.8,,14/06/2026 00.00,92.3,-1.5,,90.7,91.5,,,FALSK
132,17/6/2026,Dødløft,157.3,,14/06/2026 00.00,154.2,3.1,,154.2,154.2,-2.8,-1,FALSK
133,21/6/2026,Squat,141.8,,17/06/2026 00.00,136.9,5.0,,136.9,136.9,,,FALSK
134,21/6/2026,Bænkpres,98.0,,17/06/2026 00.00,90.8,7.3,PR,92.3,91.5,-0.9,0,SAND
135,21/6/2026,Dødløft,,,17/06/2026 00.00,157.3,,,154.2,155.7,,,
136,24/6/2026,Squat,,,21/06/2026 00.00,141.8,,,136.9,139.4,3.1,1,
137,24/6/2026,Bænkpres,93.5,,21/06/2026 00.00,98.0,-4.5,,90.8,94.4,1.2,1,FALSK
138,24/6/2026,Dødløft,160.3,,21/06/2026 00.00,157.3,3.1,,157.3,157.3,,,FALSK
139,27/6/2026,Squat,144.9,,24/06/2026 00.00,141.8,3.1,,141.8,141.8,,,FALSK
